"Jahr","Stadtquartier (historisch) (Code)","Stadtquartier (historisch) (Num)","Stadtquartier (historisch) (Name)","Kontinet BfS","Kontinent BfS (Sort)","Region BfS","Region BfS (Sort)","Land Heimat aktuell (Code)","Land Heimat aktuell (Name)","Land Heimat aktuell (Sort)","Land Heimat historisch (Code)","Land Heimat historisch (Name)","Land Heimat historisch (Sort)","wirtschaftliche Bevölkerung"
"2010","011","11","Rathaus","Afrika","2","Nordafrika","21","8331","Marokko","88","8331","Marokko","95","1"
"2010","011","11","Rathaus","Afrika","2","Ostafrika","22","8320","Kenia","77","8320","Kenia","84","1"
"2010","011","11","Rathaus","Afrika","2","Ostafrika","22","8362","Eritrea","117","8362","Eritrea","124","1"
"2010","011","11","Rathaus","Afrika","2","Südostafrika","27","8333","Mauritius","90","8333","Mauritius","97","1"
"2010","011","11","Rathaus","Afrika","2","Westafrika","24","8311","Gabun","69","8311","Gabun","76","1"
"2010","011","11","Rathaus","Afrika","2","Westafrika","24","8317","Kamerun","74","8317","Kamerun","81","2"
"2010","011","11","Rathaus","Afrika","2","Westafrika","24","8336","Nigeria","93","8336","Nigeria","100","1"
"2010","011","11","Rathaus","Afrika","2","Westafrika","24","8345","Senegal","101","8345","Senegal","108","2"
"2010","011","11","Rathaus","Afrika","2","Westafrika","24","8354","Togo","110","8354","Togo","117","0"
"2010","011","11","Rathaus","Afrika","2","Zentralafrika","23","8323","Dem. Republik Kongo","80","8323","Dem. Republik Kongo","87","1"
"2010","011","11","Rathaus","Amerika","3","Karibik","32","8409","Dominikanische Republik","135","8409","Dominikanische Republik","142","6"
"2010","011","11","Rathaus","Amerika","3","Karibik","32","8421","Jamaika","147","8421","Jamaika","154","1"
"2010","011","11","Rathaus","Amerika","3","Karibik","32","8425","Kuba","150","8425","Kuba","157","1"
"2010","011","11","Rathaus","Amerika","3","Mittleres Südamerika","35","8406","Brasilien","132","8406","Brasilien","139","10"
"2010","011","11","Rathaus","Amerika","3","Mittleres Südamerika","35","8410","Ecuador","136","8410","Ecuador","143","1"
"2010","011","11","Rathaus","Amerika","3","Mittleres Südamerika","35","8432","Peru","156","8432","Peru","163","2"
"2010","011","11","Rathaus","Amerika","3","Nordamerika","31","8423","Kanada","148","8423","Kanada","155","8"
"2010","011","11","Rathaus","Amerika","3","Nordamerika","31","8439","USA","163","8439","USA","170","60"
"2010","011","11","Rathaus","Amerika","3","Nördliches Südamerika","34","8424","Kolumbien","149","8424","Kolumbien","156","3"
"2010","011","11","Rathaus","Amerika","3","Nördliches Südamerika","34","8438","Venezuela","162","8438","Venezuela","169","2"
"2010","011","11","Rathaus","Amerika","3","Südliches Südamerika","36","8401","Argentinien","127","8401","Argentinien","134","1"
"2010","011","11","Rathaus","Amerika","3","Zentralamerika","33","8427","Mexico","152","8427","Mexico","159","4"
"2010","011","11","Rathaus","Asien","4","Nördliches Asien","41","8528","Mongolei","207","8528","Mongolei","215","1"
"2010","011","11","Rathaus","Asien","4","Ostasien","42","8507","Chinesisches Taipei","187","8507","Chinesisches Taipei","194","1"
"2010","011","11","Rathaus","Asien","4","Ostasien","42","8508","China (Volksrepublik China)","188","8508","China (Volksrepublik China)","195","7"
"2010","011","11","Rathaus","Asien","4","Ostasien","42","8515","Japan","194","8515","Japan","202","6"
"2010","011","11","Rathaus","Asien","4","Ostasien","42","8539","Republik Korea","216","8539","Republik Korea","225","1"
"2010","011","11","Rathaus","Asien","4","Südasien","46","8501","Afghanistan","181","8501","Afghanistan","188","1"
"2010","011","11","Rathaus","Asien","4","Südasien","46","8506","Sri Lanka","186","8506","Sri Lanka","193","4"
"2010","011","11","Rathaus","Asien","4","Südasien","46","8510","Indien","189","8510","Indien","197","2"
